Category,Type,Name,Latin,Matures,Season,Exposure,Difficulty,Heirloom,Open Pollinated,Container Friendly,Pollinator Attractant,Nitrogen Fixer
Flower,Black Eyed Susan,Black Eyed Susan,Rudbeckia hirta,,Annual,Full-sun,Easy,1,0,0,1,0
Flower,Calendula,Pacific Beauty Mix Organic,Calendula officinalis,,Warm season,Full-sun to partial shade,Easy,0,0,0,0,0
Flower,Calendula,Pacific Beauty Mix,Calendula officinalis,,Warm season,Full-sun to partial shade,Easy,0,0,0,0,0
Flower,Calendula,Indian Prince,Calendula officinalis,,Warm season,Full-sun to partial shade,Easy,0,0,0,1,0
Flower,California Poppy,Mission Bells,Eschscholzia californica,Should sprout in 14-21 days,Early Warm Season,Full-sun,Easy,0,0,0,1,0
Flower,California Poppy,California Orange,Eschscholzia californica,Should sprout in 14-21 days,Early Warm Season,Full-sun,Easy,0,0,0,0,0
Flower,California Poppy,Yukon Gold,Eschscholzia californica,Should sprout in 14-21 days,Early Warm Season,Full-sun,Easy,0,1,1,1,0
Flower,China Aster,Douglas Aster,Symphyotrichum subspicatum,Blooms August-September,Perrineal,Full-sun to partial shade,Moderately challenging,0,0,0,1,0
Flower,Clelosia,Bright Sparks Formula,Celosia plumosa,,,Full-sun to partial shade,Easy,0,1,1,0,0
Flower,Cleome,Spider Flower Cleome Seeds,"Cleome hassleriana, C. serrulata, ",,,Full-sun or very light shade,Easy,0,1,0,1,0
Flower,Columbine,McKana’s Giant Mix,Aquilegia vulgaris,Bloom mid-spring to early summer,Perrenial,Partial shade - full sun is tolerated where summers are cool,Easy,0,0,0,0,0
Flower,Coreopsis,Lanceleaf Coreopsis,Coreopsis lanceolata,,,Full-sun,Easy,0,0,0,1,0
Flower,Cornflower,Tall Mixed Cornflowers,Centaurea cyanus,,,Full-sun,Very easy,0,0,0,1,0
Flower,Cornflower,Blue Boy,Centaurea cyanus,,,Full-sun,Very easy,0,0,0,1,0
Flower,Cosmos,Bright Lights,Cosmos bipinnatus & C. sulfureus,,,Full-sun,Very easy,0,0,0,1,0
Flower,Cosmos,Sensation Mix,Cosmos bipinnatus & C. sulfureus,,,Full-sun,Very easy,0,0,0,0,0
Flower,Cosmos,Mini Blend,Cosmos bipinnatus & C. sulfureus,,,Full-sun,Very easy,0,0,0,0,0
Flower,Daisy,Bellis English Daisy,Bellis perennis,Expect germination in 10-25 days,Warm season,Full-sun to partial shade,Easy,0,0,1,1,0
Flower,Delphinium,Rocket Larkspur,Delphinium ajacis,,Cool season,Full-sun,Very easy,0,0,0,1,0
Flower,Echinacea,Purple Coneflowers Echinacea,Echinacea purpurea,Long-blooming from July to October,Warm season,Full-sun,Easy,0,0,0,1,0
Flower,Eryngium,Sea Holly,Eryngium planum,Slow Germination Common,Perrineal,Full-sun,Somewhat challenging,0,1,0,0,0
Flower,Forget-Me-Nots,Chinese Forget-Me-Nots,Cynoglossum amabile,Bloom from April-June,Early Warm Season,Full-sun to partial shade,Easy,0,0,1,0,0
Flower,Foxglove,Foxgloves,Digitalis purpurea,flower the year after planting.,Warm season,Full-sun to partial shade,Easy,0,0,0,1,0
Flower,Gilia,Bird's Eyes Gilia,Gilia tricolor,Bloom spring-mid summer,,Full-sun,Very easy,0,1,1,1,0
Flower,Gilia,Globe Gilia,Gilia tricolor,Bloom spring-mid summer,,Full-sun,Very easy,0,0,0,1,0
Flower,Gypsophila,Baby’s Breath Gypsophila,Gypsophila elegans,Fast blooms,Warm season,Full-sun to partial shade,Easy,0,0,0,0,0
Flower,Helenium,Autumn Sneezeweed,Helenium autumnale,Late summer bloom,Warm season,Full-sun,Easy,0,0,0,0,0
Flower,Iberis,Candytuft,Iberis umbellata,,,Full-sun - some afternoon shade is appreciated where summers are hot,Easy,0,0,1,1,0
Flower,Lobiela,Midnight Blue,Lobelia erinus,,Warm season,Full-sun to partial shade,Easy,0,0,1,1,0
Flower,Marigold,Brocade Marigold,"Tagetes patula, T. erecta, & T. tennuifolia",enjoy flowers from May to heavy frost,Warm season,Full-sun,Very easy,0,0,1,1,0
Flower,Matthiola,Evening Scented Stocks,Matthiola longipetala,,,Full-sun to partial shade,Somewhat challenging,0,0,1,0,0
Flower,Milkweed,Showy Milkweed,Ascelpias sp.,,Warm season,Full-sun,Easy,0,0,1,1,0
Flower,Milkweed,Butterfly Bush Milkweed Seeds,Ascelpias sp.,,Warm season,Full-sun,Easy,0,0,0,1,0
Flower,Milkweed,Swamp Milkweed,Ascelpias sp.,,Warm season,Full-sun,Easy,0,0,0,1,0
Flower,Nasturtium,Glorious Gleam,Tropaeolum majus & T. minus,,Warm Season,Full-sun to partial shade,Easy,1,0,1,0,0
Flower,Nemophilla,Baby Blue Eyes,Nemophila menziesii,,Cool season,Full sun, ,0,0,1,1,0
Flower,Nemophilla,Five Spot,Nemophila menziesii,,,, ,0,0,0,0,0
Flower,Nigella,Persian Jewels,Nigella damascena,,,Full-sun,Easy,0,0,0,0,0
Flower,Ornamental Grass,Quaking Grass,Briza maxima,,,Full-sun to partial shade,Easy,0,0,1,0,0
Flower,Phacelia,Purple Tansy,Phacelia tanacetifolia,,,Full-sun,Easy,0,1,0,1,0
Flower,Phacelia,California Bluebell,Phacelia tanacetifolia,,,Full-sun,Easy,0,0,1,1,0
Flower,Poppy,Flanders Poppy,Papaver nudicaule,,,Full-sun to partial shade,Easy,1,0,0,0,0
Flower,Poppy,Iceland Poppy,Papaver nudicaule,,,Full-sun to partial shade,Easy,0,0,0,0,0
Flower,Poppy,Pizzicato Poppy Seeds,Papaver nudicaule,,,Full-sun to partial shade,Easy,0,0,0,1,0
Flower,Poppy,Giganthemum,Papaver nudicaule,,,Full-sun to partial shade,Easy,0,1,0,1,0
Flower,Poppy,Hungarian Blue,Papaver nudicaule,,,Full-sun to partial shade,Easy,0,1,0,1,0
Flower,Poppy,Black Swan,Papaver nudicaule,,,Full-sun to partial shade,Easy,0,1,0,1,0
Flower,Poppy,Amazing Grey,Papaver nudicaule,,,Full-sun to partial shade,Easy,0,1,0,1,0
Flower,Primrose,Pale Evening Primrose,Oenothera pallida,Bloom all summer,Warm season,Full-sun,Easy,0,1,0,1,0
Flower,Prunella,Self-Heal,Prunella vulgaris ssp. lanceolata.,,Warm season,Full-sun to partial shade,Easy but slow,0,0,0,1,0
Flower,Ratibida,Prairie Coneflower,Ratibida columnifera,,,Full-sun,Easy,0,1,0,0,0
Flower,Scabiosa,Imperial Mix,Scabiosa atropurpurea,,Warm season,Full-sun,Easy,0,0,0,1,0
Flower,Sisyrinchium,Western Blue-Eyed Grass,Sisyrinchium bellum,Slow Germination Common,Perrineal,Full-sun to partial shade,Somewhat challenging,0,0,1,0,0
Flower,Snapdragon,Rainbow Mix,Antirrhinum majus,,,Full-sun to partial shade,Easy,0,0,0,0,0
Flower,Soapwort,Rock Soapwort,Saponaria ocymoides,,,Full-sun to partial shade,Moderately challenging,0,1,1,0,0
Flower,Sunflower,Solar Power,Helianthus annuus,in 110 days,Warm season,Full-sun,Easy,0,0,0,1,0
Flower,Sunflower,Teddy Bear,Helianthus annuus,in 110 days,Warm season,Full-sun,Easy,0,0,1,0,0
Flower,Sunflower,Titan,Helianthus annuus,in 110 days,Warm season,Full-sun,Easy,0,1,0,1,0
Flower,Sunflower,Peredovik Organic,Helianthus annuus,in 110 days,Warm season,Full-sun,Easy,1,1,0,1,0
Flower,Sunflower,Mongolian Giant Organic,Helianthus annuus,in 110 days,Warm season,Full-sun,Easy,0,0,0,1,0
Flower,Sunflower,Taiyo Organic,Helianthus annuus,in 110 days,Warm season,Full-sun,Easy,0,0,0,0,0
Flower,Sweet Pea,Cuthbertson Blend,Lathyrus odoratus,,Warm season,Full-sun,Easy,0,0,0,0,0
Flower,Tobacco,Jasmine Tobacco,Nicotiana alata, ,Warm season,Full-sun to partial sun - prefers a warm spot,Easy,0,0,0,1,0
Flower,Viola,Johnny Jump Up,Viola cornuta,,Annual,Full-sun to partial shade,"Timing can be tricky, depending on the variety. Johnny Jump-Ups are very easy.",1,0,1,0,0
Flower,Viola,Back to Black,"Viola tricolor, V. x wittrockiana, V. odorata",,,Full-sun to partial shade,"Timing can be tricky, depending on the variety. Johnny Jump-Ups are very easy.",0,0,0,0,0
Flower,Wildflower,Bee Garden Blend,-,,,"Full-sun to partial shade, depending on the blend",Easy,0,0,1,1,0
Flower,Wildflower,Butterfly Blend,-,,,"Full-sun to partial shade, depending on the blend",Easy,0,0,0,1,0
Flower,Wildflower,Knee High Meadow Blend,-,,,"Full-sun to partial shade, depending on the blend",Easy,0,0,1,1,0
Flower,Wildflower,Beneficial Insect Blend,-,,,"Full-sun to partial shade, depending on the blend",Easy,0,0,0,1,0
Flower,Wildflower,Pacific Northwest Blend,-,,,"Full-sun to partial shade, depending on the blend",Easy,0,0,0,1,0
Flower,Wildflower,Deer Resistant Wildflower Seeds,-,,,"Full-sun to partial shade, depending on the blend",Easy,0,0,0,0,0
Flower,Wildflower,Xeriscape Mix,-,,,"Full-sun to partial shade, depending on the blend",Easy,0,0,0,1,0
Flower,Wildflower,East Coast Wildflowers Blend,-,,,"Full-sun to partial shade, depending on the blend",Easy,0,1,0,1,0
Flower,Wildflower,Alternative Lawn Wildflower Mix,-,,,, ,0,0,0,1,0
Flower,Yarrow,Yarrow,Achillea sp.,,Warm season,Full-sun,Easy,0,1,0,1,0
Flower,Yarrow,Western Yarrow,Achillea sp.,,Warm season,Full-sun,Easy,0,1,0,1,0
Flower,Zinnia,California Giants Mix,Zinnia elegans,It takes about two months after sowing for the first flowers to appear.,Warm season,Full-sun,Easy,0,0,0,1,0
Flower,Zinnia,Giant Blue Point Formula,Zinnia elegans,It takes about two months after sowing for the first flowers to appear.,Warm season,Full-sun,Easy,0,0,0,1,0
Flower,Zinnia,Cherry Queen,Zinnia elegans,It takes about two months after sowing for the first flowers to appear.,Warm season,Full-sun,Easy,0,0,0,1,0
Flower ,Ornamental Grass,Orchard Grass,Dactylis glomerata,Fast Growing,Cool season,Full-sun to partial shade,Easy,0,1,0,1,0
Fower,Gaillardia,Blanketflower,Gaillardia pulchella,,,Full-sun,Easy,0,0,0,1,0
Fruit,Berry,Golden Pearls,Solanum villosum,60 days,Warm season,Full sun to partial shade, ,0,1,1,0,0
Fruit,Berry,Garden Huckleberry,Solanum melanocerasum,in 80 days,,, ,0,1,1,0,0
Fruit,Goji Berry,Shanghai Express Goji,Lycium barbarum,Can produce 6 lbs of fruit in third year,Warm season,Full-sun,Moderately difficult,0,0,0,0,0
Fruit,Strawberry,Yellow Wonder Alpine,Fragaria vesca,in 150 days,Warm season,Full-sun,Moderately easy,0,1,1,0,0
Fruit,Strawberry,Mignonette Alpine,Fragaria vesca,in 80 days,Warm season,Full-sun,Moderately easy,0,1,1,0,0
Grass,Fescue,Tall Fescue,Festuca arundinacea,,,, ,0,0,0,0,0
Herb,Basil,Dolce Fresca,Ocimum basilicum,Seeds should sprout in 5-10 days,Warm season,Full-sun,Easy,0,0,0,0,0
Herb,Basil,Kitchen Basil Blend,Ocimum basilicum,Seeds should sprout in 5-10 days,Warm season,Full-sun,Easy,0,1,1,0,0
Herb,Basil,Sweet Thai Basil Certified Organic,Ocimum basilicum,in 35-45 days,Warm season,Full sun,Easy,0,0,0,0,0
Herb,Basil,Siam Queen Thai Basil,Ocimum basilicum,Seeds should sprout in 5-10 days,Warm season,Full-sun,Easy,0,1,1,1,0
Herb,Basil,Genovese Organic,Ocimum basilicum,Seeds should sprout in 5-10 days,Warm season,Full-sun,Easy,0,1,1,1,0
Herb,Basil,Sweet Basil Organic,Ocimum basilicum,Seeds should sprout in 5-10 days,Warm season,Full-sun,Easy,0,1,1,0,0
Herb,Basil,Dolly Organic,Ocimum basilicum,Seeds should sprout in 5-10 days,Warm season,Full-sun,Easy,0,0,1,0,0
Herb,Basil,Rosie Organic,Ocimum basilicum,Seeds should sprout in 5-10 days,Warm season,Full-sun,Easy,0,1,1,0,0
Herb,Basil,Cardinal Organic,Ocimum basilicum,Seeds should sprout in 5-10 days,Warm season,Full-sun,Easy,0,0,1,1,0
Herb,Bergamot,Wild Bergamot,Monarda citriodora,flowers appear in July and August ,Warm season,Full-sun,Easy,0,0,0,1,0
Herb,Borage,Borage,Borago officinalis,Sprout in 5-15 days.,Cool season,Full-sun to partial shade,Easy,0,0,0,1,0
Herb,Catnip,Catnip,Nepeta cataria,,Warm season,Full-sun,Easy,0,0,1,1,0
Herb,Chervil,Chervil,Anthriscus cerefolium,,Cool season,Full-sun or partial shade,Easy,0,0,1,0,0
Herb,Chives,Garlic Chives,Allium schoenoprasum & A. tuberosum,,Cool season,Full-sun,Easy,0,0,1,1,0
Herb,Chives,Chives,Allium schoenoprasum & A. tuberosum,,Cool season,Full-sun,Easy,0,1,3,3,0
Herb,Chives,Lions Mane,Allium schoenoprasum & A. tuberosum,,Cool season,Full-sun,Easy,0,0,1,1,0
Herb,Cilantro,Santo Long Standing,Coriandrum sativum,Seeds should sprout in 5-10 days.,Cool season,Full-sun or partial shade,Easy,0,0,1,1,0
Herb,Cilantro,Santo Monogerm,Coriandrum sativum,Seeds should sprout in 5-10 days.,Cool season,Full-sun or partial shade,Easy,0,1,1,1,0
Herb,Cilantro,Santo Organic,Coriandrum sativum,Seeds should sprout in 5-10 days.,Cool season,Full-sun or partial shade,Easy,0,0,1,1,0
Herb,Cilantro,Calypso,Coriandrum sativum,in 50 days,Cool season,Sun or partial shade,Easy,1,1,0,0,0
Herb,Culantro,Culantro Sawtooth Herb,Eryngium foetidum,,Warm season,Full-sun,Easy,0,0,1,0,0
Herb,Cumin,Cumin,Cuminum cyminum,in 120 days,Warm season,Full-sun,Easy,0,1,0,1,0
Herb,Dill,Bouquet Dill,Anethum graveolens,Once plants reach 15cm (6″) tall,Warm season,Full-sun,Easy,0,0,0,1,0
Herb,Dill,Dukat Dill,Anethum graveolens,Once plants reach 15cm (6″) tall,Warm season,Full-sun,Easy,0,0,1,1,0
Herb,Lavender,Lavance Deep Purple,Lavandula sp.,Blooms from late spring right into autumn,Warm season,Full-sun,Moderately challenging,0,0,0,0,0
Herb,Lavender,Dwarf Munstead,Lavandula sp.,An early flowering selection,Warm season,Full-sun,Moderately challenging,0,0,1,1,0
Herb,Lavender,Spanish Eyes,Lavandula sp.,early and long lasting blooms,Warm season,Full-sun,Moderately challenging,0,0,1,0,0
Herb,Lavender,Blue Spear,Lavandula sp.,From late spring to the end of summer,Warm season,Full-sun,Moderately challenging,0,0,0,0,0
Herb,Lemon Balm,Lemon Balm,Melissa officinalis,,Cool season,Full-sun to partial shade,Easy,0,0,1,0,0
Herb,Lovage,Lovage,Levisticum officinale,,Warm season,Full-sun to partial shade,Easy,0,0,0,1,0
Herb,Mint,Peppermint,Mentha sp.,,Cool season,Full-sun to partial shade,Easy,0,1,1,1,0
Herb,Mint,Spearmint,Mentha sp.,,Cool season,Full-sun to partial shade,Easy,0,1,0,1,0
Herb,Mint,Huacatay,Mentha sp.,,Cool season,Full-sun to partial shade,Easy,0,1,0,0,0
Herb,Oregano,Greek Oregano,Origanum vulgare,,Warm season,Full-sun,Easy,0,0,1,1,0
Herb,Oregano,Oregano Za'atar Organic,Origanum vulgare,,Warm season,Full-sun,Easy,0,1,1,1,0
Herb,Parsley,Dark Green Italian,Petroselinum crispum,in 80 days,Cool season,Full-sun to partial shade,Easy,0,0,1,1,0
Herb,Rosemary,Rosemary,Salvia rosmarinus,,Cool season,Full-sun,Challenging,0,0,1,1,0
Herb,Sage,Organic Sage Seeds,"Salvia officinalis, Salvia apiana",,Warm season,Full-sun,Easy but slow,0,1,1,1,0
Herb,Savory,Summer Savory,Satureja hortensis,,Warm season,Full-sun,Easy,0,0,1,1,0
Herb,Shiso,Red Perilla Shiso Seeds,Perilla frutescens var. crispa,,Warm season,Full-sun,Easy,0,1,1,0,0
Herb,Stevia,Stevia Organic,Stevia rebaudiana.,,Warm season,Full-sun,Easy after germination,0,1,1,0,0
Herb,Tarragon,Mexican Tarragon,Tagetes lucida,Fast growing,Warm season,Full-sun to partial shade,Easy,0,3,0,0,0
Herb,Tarragon,Mexican Tarragon Certified Organic,Tagetes lucida,Fast growing,Warm season,Full-sun to partial shade,Easy,0,1,0,0,0
Herb,Thyme,English Thyme,Thymus vulgaris,,Spring through Fall,Full-sun,Challenging and slow going,0,0,1,1,0
Herb,Thyme,Creeping Thyme,Thymus vulgaris,,Spring through Fall,Full-sun,Challenging and slow going,0,0,1,0,0
Vegetable,Amaranth,Hopi Red Dye Organic,Amaranthus sp,"in 21 days for baby greens, 110 days for seeds",Warm season,Full-sun,Easy.,1,0,0,0,0
Vegetable,Amaranth,Burgundy Organic Amaranth Seeds,Amaranthus sp,in 90-100 days,Warm season,Full-sun,Easy.,0,1,0,0,0
Vegetable,Artichoke,Green Globe,Cynara cardunculus var. scolymus,in 150-210 days,Cool season,Full-sun,Moderately challenging.,0,1,0,0,0
Vegetable,Arugula,Astro Organic,Eruca sativa,in 30-40 days,Cool season. Arugula tents to bolt in hot weather.,Full sun to partial shade,Easy,0,1,1,0,0
Vegetable,Arugula,Esmee Organic,Eruca sativa,in 21-40 days,Cool season,Full-sun to partial shade,Easy,0,1,1,0,0
Vegetable,Arugula,Selvatica Organic,Diplotaxis tenuifolia,in 40 days,Cool season,Full-sun to partial shade,,0,1,1,0,0
Vegetable,Bean,Windsor,Vicia faba,in 75-85 days or 6 months if fall sown,Cool season,Full-sun,Easy,0,1,0,0,1
Vegetable,Bean,Early Thorogreen Lima Beans,Phaseolus vulgaris,in 67 days,Warm season,Full-sun,Easy,0,1,0,0,0
Vegetable,Bean,Taylor Horticultural,Phaseolus vulgaris,in 80 days,Warm season,Full-sun,Easy,1,1,0,0,0
Vegetable,Bean,Borlotti Drying Bean Seeds,Phaseolus vulgaris,in 80 days,Warm season,Full-sun,Easy,1,1,0,0,0
Vegetable,Beets,Touchstone Gold,Beta vulgaris,in 53 days,Cool season biennial,Full-sun or partial shade,Easy,1,1,0,0,0
Vegetable,Beets,Early Wonder Tall Top,Beta vulgaris,in 60 days,Cool season biennial,Full-sun or partial shade,Easy,0,1,0,0,0
Vegetable,Beets,Chioggia Guardsmark Organic,Beta vulgaris,in 65 days,Cool season biennial,Full-sun or partial shade,Easy,1,1,0,0,0
Vegetable,Beets,Cylindra,Beta vulgaris,in 50-70 days,Cool season Biennial,Full-sun or partial shade,Easy,1,1,0,0,0
Vegetable,Beets,Beet Blend,Beta vulgaris,in 50-65 days,Cool season biennial,Full-sun or partial shade,Easy,0,0,0,0,0
Vegetable,Beets,Detroit Supreme,Beta vulgaris,in 65 days,Cool season biennial,Full-sun or partial shade,Easy,0,1,0,0,0
Vegetable,Beets,Winterkeeper Lutz,Beta vulgaris,in 60 days,Cool season biennial,Full-sun or partial shade,Easy,0,1,0,0,0
Vegetable,Beets,Bull’s Blood Organic,Beta vulgaris,in 50-60 days,Cool season biennial,Full-sun or partial shade,Easy,0,0,0,0,0
Vegetable,Broccoli,Natalino,Brassica oleraceae var. italica,in 90 days,Cool season,Full-sun,Moderately challenging,1,1,0,0,0
Vegetable,Broccoli Raab,Sorrento,Brassica rapa var. ruvo,in 40-45 days,Cool season,Full-sun,Moderately challenging,0,1,0,0,0
Vegetable,Brussels Sprout,Red Ball,Brassica oleracea var. gemmifera,in 120 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Bush Bean,Goliath (F26),Phaseolus Vulgaris,in 57 days,Warm season,Full-sun,Easy,0,1,0,0,0
Vegetable,Bush Bean,Ferrari,Phaseolus Vulgaris,in 55 days,Warm season,Full-sun,Easy,0,1,1,0,0
Vegetable,Bush Bean,Gold Rush,Phaseolus Vulgaris,in 58 days,Warm season,Full-sun,Easy,0,1,0,0,1
Vegetable,Cabbage,Copenhagen Market,Brassica oleracea var. capitata,in 63-100 days,Cool season,Full-sun,Moderately difficult,1,1,0,0,0
Vegetable,Carrot,Nantes Coreless,Daucus carota,in 75 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Carrot,Scarlet Nantes,Daucus carota,in 65-70 days,Cool season,Full-sun,Easy,1,1,0,0,0
Vegetable,Carrot,Autumn King Organic,Daucus carota,in 70 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Carrot,Royal Chantenay,Daucus carota,in 70 days,Cool season,Full-sun,Easy,1,1,0,0,0
Vegetable,Carrot,Kuroda Nova,Daucus carota,in 68-110 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Carrot,Nutri-Red,Daucus carota,in 76 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Cauliflower,Amazing,Brassica oleracea var. botrytis,in 75 days,Cool season,Full-sun,Moderately difficult,0,1,0,1,0
Vegetable,Cauliflower,Goodman Coated Organic,Brassica oleracea var. botrytis,in 80-90 days,Cool season,Full-sun,Moderately difficult,0,1,0,0,0
Vegetable,Celary,Tango Coated Organic,Apium graveolens,in 85 days,Cool season,Full-sun,Moderately challenging,0,1,0,0,0
Vegetable,Celary,Tall Utah 52-70,Apium graveolens,in 100 days,Cool season,Full-sun,Moderately challenging,1,1,0,0,0
Vegetable,Celary,Brilliant Celeriac,Apium graveolens,in 110 days,Cool season,Full-sun,Moderately challenging,0,1,0,0,0
Vegetable,Celary,Redventure Organic,Apium graveolens,in 100-110 days,Cool season,Full-sun,Moderately challenging,0,1,0,0,0
Vegetable,Celary,Amsterdam Cutting Leaf Celery,Apium graveolens,in 80 days,Cool season,Full-sun,Moderately challenging,1,1,0,0,0
Vegetable,Chard,Canary Yellow,Beta vulgaris var. cicla,in 50 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Chard,Silverado,Beta vulgaris var. cicla,in 60 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Chard,Fordhook Giant,Beta vulgaris var. cicla,in 60 days,Cool season,Full-sun,Easy,1,1,0,0,0
Vegetable,Chard,Magenta Sunset,Beta vulgaris var. cicla,in 25-30 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Chard,Rhubarb Chard,Beta vulgaris var. cicla,in 60 days,Cool season,Full-sun,Easy,1,1,0,0,0
Vegetable,Corn,Pink Popcorn,Zea mays,in 85 days,Warm season,Full-sun,Moderately challenging,0,1,0,0,0
Vegetable,Corn,Calico Popcorn,Zea mays,in 90-105 days,Warm season,Full-sun,Moderately challenging,1,1,0,0,0
Vegetable,Corn Salad,Vit Corn Salad Mache,Valerianella locusta,in 50 days,Cool season,Full sun to partial shade,Easy,0,1,0,0,0
Vegetable,Cress,Upland Cress Organic,Barbarea verna,in 50 days,Cool season,Full-sun to partial shade,Easy,0,0,1,0,0
Vegetable,Cress,Persian Cress Organic,Lepidium sativum,in 21 days,Cool season,Full-sun to partial shade,Easy,0,1,1,0,0
Vegetable,Cress,Curly Cress Peppergrass,Lepidium sativum.,in 10 days,Cool season,Full sun to partial shade,Easy,0,1,1,0,0
Vegetable,Cucumber,Marketmore 76,Cucumis sativus,in 68 days,Warm season,Full-sun,Easy,0,1,0,0,0
Vegetable,Cucumber,Cucamelon,Cucumis sativus,in 67 days,Warm season,Full-sun,Easy,0,1,1,0,0
Vegetable,Cucumber,Crystal Apple,Cucumis sativus,in 75 days,Warm season,Full-sun,Easy,1,1,1,0,0
Vegetable,Cucumber,Small Sugar,Cucurbita maxima & C. pepo.,in 110 days,Warm season,Full-sun,"Easy, but these big plants require lots of room.",1,1,0,0,0
Vegetable,Eggplant,Ping Tung Long,Solanum melogena,in 65-90 days,Warm season,Full-sun,Easy.,0,1,1,0,0
Vegetable,Eggplant,Black Beauty Organic,Solanum melogena,in 74 days,Warm season,Full-sun,Easy.,1,1,1,0,0
Vegetable,Eggplant,Pumpkin on a Stick,Solanum aethiopicum,in 70 days,Warm season,Full-sun,Easy,0,1,1,0,0
Vegetable,Eggplant,Long Purple,Solanum melogena,in 60 days,Warm season,Full-sun,Easy.,1,1,1,0,0
Vegetable,Endive,Tres Fine Maraichere,Cichorium endiva,in 65 days,Cool season,Full-sun,Easy,1,1,0,0,0
Vegetable,Endive,Puntarelle,Cichorium endiva,in 70 days,Cool season,Full-sun,Easy,1,1,0,0,0
Vegetable,Endive,Broadleaf Batavian Escarole,Cichorium endiva,in 85 days,Cool season,Full-sun,Easy,1,1,0,0,0
Vegetable,Endive,Sugar Loaf Endive,Cichorium endiva,in 80-90 days,Cool season,Full-sun,Easy,1,1,0,0,0
Vegetable,Endive,Italian Dandelion Endive,Cichorium endiva,in 65 days,Cool season,Full-sun,Easy,1,1,0,0,0
Vegetable,Fennel,Selma Fino,Foeniculum vulgare var. dulce,in 80 days,Warm season,Full-sun,Easy,0,1,0,1,0
Vegetable,Kale and Collards,Summer Kale Blend,Brassica oleracea,in 40-60 days,Cool season,Full-sun,Easy,0,0,0,0,0
Vegetable,Kale and Collards,Winter Red Organic,Brassica oleracea,in 50-80 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Kale and Collards,Vates Blue Curled Scotch,Brassica oleracea,in 50-80 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Kale and Collards,Winter Blend,Brassica oleracea,in 50-80 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Kale and Collards,Red Russian Organic,Brassica oleracea,"in 21 days for baby leaves, 50 days to full size",Cool season,Full-sun,Easy,1,0,0,0,0
Vegetable,Kale and Collards,Rainbow Lacinato Organic,Brassica oleracea,in 65 days,Cool season,Full-sun,Easy,0,1,0,0,0
Vegetable,Kale and Collards,Lacinato,Brassica oleracea,in 65 days,Cool season,Full-sun,Easy,1,3,0,0,0
