Name,Category,Timing,Starting,Growing,Harvest
Ammi,Flower,"Start seeds indoors 6-8 weeks before last frost. Transplants can go out 3-4 weeks after last frost, or once the daytime temperatures are steadily above 10°C (50°F). Or direct sow outdoors in early spring when the soil is still cool and a light frost is still a possibility. Ammi can also be direct sown in late autumn. Seeds should germinate in 7-25 days.","Just cover the small seeds. If starting indoors, wrap planted seedling trays or pots in plastic and place in the refrigerator for 1-2 weeks. Then grow in a bright, cool place at 12°-18°C (55°-65°F).","Thin or transplant seedlings to 30cm (12″) apart in richly fertile soil. Ammi prefers cool, moist soil. Water regularly until plants are established, and then only during hot, dry weather.",
Black Eyed Susan,Flower,"Sow indoors 6-8 weeks before last frost, or direct sow about 2 weeks before last frost. If starting indoors, provide bright light and maintain a soil temperature of 21-25°C (70-75°F). Expect germination in 5-21 days.","Sow seeds on the surface of the soil. Thin or transplant to stand 30cm (12″) apart. In hot summers, some afternoon shade is appreciated.","Top dress with a thin layer of well rotted manure once a year. Keep watered in hot weather, and deadhead regularly. Plants may self-sow, which should be encouraged.",
Calendula,Flower,"Direct sow in early spring when light frost is still a possibility, and continue to sow every two to three weeks until early summer for fall flowers. Calendula is easiest from direct sowing, but can also be started indoors late winter for transplanting once daytime temperatures are steadily above 10°C (50°F). If starting indoors, maintain darkness and a soil temperature of 21°C (70°F) until germination occurs in 6-14 days, and then supply bright light to keep seedlings compact. Or direct sow in early autumn in Zones 8-10.","Sow seeds 5mm (¼”) deep, and aim for a spacing of 15-45cm (6-18″) between plants.","Ideal pH: 5.5-7.0.Calendula grows easily in any regular garden soil. Pinch back young plants to encourage bushy growth. Occasional feeding is rewarded, but unnecessary. Keep plants watered, but try to avoid overhead watering as plants are susceptible to mildew. Deadhead regularly to prevent self-sowing.",
California Poppy,Flower,"Direct sow outdoors in spring after the local last frost date. Otherwise direct sow in autumn. It can be started indoors, but does not like being transplanted.","Sow seeds 5mm (¼”) deep, spaced 20-25cm (8-10″) apart. Seeds should sprout in 14-21 days.","Grow in any average, well-drained soil. Deadhead regularly to prevent self sowing. California poppies are very likely to self sow when conditions are favourable.",
China Aster,Flower,,"Sow indoors 6-8 weeks before planting out, in peat pots or similar. Otherwise direct sow outdoors after the last frost date. Just cover the seeds. If starting indoors, provide bright light and a soil temperature of 18-21°C (65-70°","Space or transplant 30-45cm (12-18″) apart. This spacing is key to success later  in the season, so please follow the guidance. Do not pinch back young plants. Water regularly during dry spells. This plant is particularly sensitive to over-watering, and will not thrive if over-crowded, poorly ventilated, or situated close to a heat-reflecting surface. Mulch around the plants in summer to help keep the roots cool.",
Clelosia,Flower,"Sow indoors 6-8 weeks before last frost, in peat or coir pots – Celosia does not like its roots disturbed by transplanting. Transplant at least two weeks after last frost, once nighttime temperatures are consistently above 10°C (50°F). Or direct sow outdoors after last frost. Seeds will germinate in 6-14 days.","Just cover the small seeds. If starting indoors, try to maintain a soil temperature of 21-25°C (70-75°F). Be sure to use peat pots, coir pots, or Cowpots, and transplant the whole pot into the soil at transplant time. This will minimize transplant shock.","Ideal pH: 6.0 -7.0. Plant in full sun or partial shade in ordinary, moist soil with a pH range of 6.0 to7.0. Celosia prefers warm temperatures.",
Cleome,Flower,"Start indoors from 6-8 weeks prior to the last frost date for transplanting (or simply direct sow) 3-4 weeks after last frost. If direct sowing, consider repeating every two weeks into early summer for a longer bloom period. Seeds will sprout in 10-14 days.","Sow on the surface of the soil. If starting indoors, seeds benefit from vernalization: Place seeds on the surface of moistened, sterilized seed starting mix in pots, and place pots in zip-top plastic bags inside the refrigerator for 2 weeks. Then move pots to bottom heat and maintain soil temperature at 21-25°C (70-75°F) until germination. Provide bright light.","Cleome is quite an undemanding annual. The stems are usually very strong and upright, but might benefit from support in very windy, exposed gardens.",
Columbine,Flower,"Direct sow in autumn or mid-winter. Seeds can be started indoors, but it’s more complicated: Sow seeds in flats of moistened, sterilized seed starting mix, and place these inside plastic bags in the refrigerator for 2-3 weeks. Then sink the flats outdoors in the ground in a shady spot, and cover with glass. As seedlings appear, transplant them or pot them on. Germination takes 30-90 days.",Sow on the soil surface and transplant or thin seedlings to 30-50cm (12-20″) apart.,"Seedlings are easy to move, but delicate. Keep them out of strong sunlight, and water frequently, but gently. Deadhead regularly to prolong the blooming period. Columbine’s flowers are followed by distinctive seed pods that open on their own when the seeds are ripe. These can be removed to prevent self sowing, or for very easy harvest of the seeds. We like to harvest Columbine seeds mid-summer and spread them in any shady spot that could use some colour. Grow Columbine in humus-rich, moist, but well-drained soil.",
Coreopsis,Flower,"Start indoors in late winter for transplanting out after last frost. Or direct sow when a slight risk of frost is still possible. In areas where winter is mild, seeds can be direct sown in the fall, as well. Seeds germinate in 5-25 days. If starting indoors, maintain soil temperature at 12-21°C (55-70°F) and provide bright light.",Sow seeds on the surface of the soil. Transplant or thin to 15cm (6″).,"Deadhead often and do not feed, as fertilizers can reduce flowering. Coreopsis will adapt to many different soils, but prefers well drained, rich soil. This perennial species may self sow and also spread (very slowly) by underground rhizomes.",
Cornflower,Flower,"Direct sow starting just before last frost, and again every two weeks until end of spring. Centaurea can be direct sown in autumn as well. Starting indoors is not necessary, but can be accomplished by keeping seed trays in the dark at the optimal soil temperature of 15-21°C (60-70°F). Move under bright lights once germination occurs, and transplant out in late spring, after all risk of frost has passed.",Just cover the small seeds. Thin or space to 15-30cm (6-12″) apart.,"We acknowledge that sometimes appears on lists of invasive species. In our experience, for the back yard or balcony gardener, this is not an issue, and the plants are easily controlled. They are short rooted, and can be pulled up with little effort. Unlike some plants, its seeds simply drop locally if allowed to mature, and do not eject, and they do not spread by underground rhizome. We respectfully ask that gardeners who live in threatened or sensitive ecosystems take this into consideration when planting Centaurea, just like any other type of seed.",
Cosmos,Flower,"Direct sow after the last frost date. Several sowings will result in a very long bloom period. Cosmos can also be started indoors in late winter for transplanting after last frost, once daytime temperatures are above 10°C (50°F). Seeds will sprout in 3-10 days. Optimal temperature for germination: 21-25°C (70-75°F).",Sow seeds very shallowly only a few millimetres (1/8″) deep. Thin or transplant to 20-25cm (8-10″) apart.,"Most varieties can get quite tall, and in exposed or windy gardens can benefit from staking or trellis netting laid horizontally over the bed for the stems to grow through before blooming. Deadhead and cut for bouquets regularly to extend the bloom period.",
Daisy,Flower,"Indoors, sow around 8-10 weeks before planting out. Outdoors: In Zones 3-7, direct sow midsummer to early autumn for flowers the following year. In Zones 8-9 either direct sow in early spring when the soil is still cool and slight frost is still possible, or plant in autumn.",Sow on the surface of the soil. The seeds require light and a temperature of around 21°C (70°F). Expect germination in 10-25 days.,"Feed early in the season, and provide ample water. Deadhead (remove spent flowers) regularly to prevent self-sowing. In hot summers, cut back after flowering.",
Delphinium,Flower,"Sow indoors 8-10 weeks before planting out. Or simply direct sow in early spring, when a light frost is still possible, or early autumn. Seeds take 14-28 days to sprout.","Just cover the tiny seeds. If starting indoors, vernalize seeds by planting them in trays in sterilized seed starting mix. Place these inside plastic bags and refrigerate for 2 weeks. Then place them in total darkness and maintain a soil temperature of 10-12°C (50-55°) until sprouted. Once sprouts appear, place below bright light. Space or thin to 30-45cm (12-18″) between plants.","Deep, rich, well-drained, slightly acidic soil. For the most bloom potential, water well throughout the season, and feed once in the early spring. Remove spent flowers immediately after the first bloom, and feed again. When new growth reaches about 20cm (8″) tall, cut back old growth completely.",
Echinacea,Flower,"Sow indoors 8-10 weeks before planting out. If started indoors in late winter, Echinacea may bloom in the first year. It can also be direct sown in early spring or early fall. Germination should occur in 10-21 days.","Sow seeds shallowly at only 3mm (1/8″) deep. If starting indoors, provide total darkness and a soil temperature of 21-25°C (70-75°F). Once sprouts appear, provide bright light.","Space plants at 30-38cm (12-15″) apart in any average, well drained, slightly acidic soil. Water plants regularly for best results, keeping the leaves as dry as possible. Leave seed heads intact over winter to feed birds and provide shelter for beneficial insects.",
Eryngium,Flower,"Germination can be slow, and the seeds benefit from vernalization. Sow pre-moistened flats and seal them in plastic bags in late winter. Refrigerate for two to three weeks. Then move the flats outdoors to a shady location after all threat of frost has passed. Transplant as seedlings appear, which usually takes two to three weeks. Or, more simply, direct sow in the fall.","Sow seeds 2mm (1/8″) deep. Germination can take 5 to 90 days, so be patient.",Water only during very dry spells. Carefully mulch around the crowns with fine gravel to keep plants dry over winter. The long taproots make transplanting difficult.,
Forget-Me-Nots,Flower,"Direct sow in early spring when a light frost is still possible. Otherwise start indoors 6-8 weeks before planting out. Direct sow again in autumn. Seeds will sprout in 5-10 days, particularly if maintained at their optimal soil temperature of 18-24°C (65-75°F).","Sow seeds shallowly at 5mm (¼”) deep, and thin or space to 20-30cm (8-12″) apart. If starting indoors, keep seeds in total darkness until they sprout, and then provide bright light.","Ordinary, well-drained garden soil with a neutral to slightly acid pH range will work well. Weak plants result from rich soil. This species is well suited to xeriscaping. Deadhead to avoid self sowing.",
Foxglove,Flower,"Direct sow outdoors after last frost for flowers the following year. In mild winter areas, direct sow in autumn as well. For flowers the first year, sow indoors very early, in December or January for transplanting 2-3 weeks before last frost. Seeds take 14-21 days to germinate. If starting indoors, provide bright light and a soil temperature of 15-18°C (60-65°F).",Sow on the surface. Space or transplant 45-60cm (18-24″) apart.,"Water plants deeply on a regular basis. Cut off finished flowering stems to prevent self-sowing. Otherwise, expect foxgloves to naturalize around your garden. Foxgloves will languish in periods of heat and drought, so provide extra moisture during those times. If allowed to go to seed, foxgloves tend to self sow for several generations.",
Gilia,Flower,"Gilia is most successful if direct sown outdoors 2-3 weeks before last frost, or in the autumn in mild climates. Alternately, start indoors 6-8 weeks before last frost, and harden seedlings off gradually in a cold frame before transplanting. This is one of those annuals that requires almost no effort: Sprinkle seeds where they are to grow, and most gardeners will have a very high success rate.",Sow seeds 2mm (1/8″) deep. At a temperature of 12-18°C (55-65°F) seeds should germinate in 17 to 21 days.,"Transplant after last frost into average, well drained soil.  can grow in quite sandy conditions and is drought tolerant, so it’s useful for . Space plants 23-33cm (9-15″) apart. Gilia will probably self sow in the right conditions, but it does not become weedy and is very easy to control.",
Gypsophila,Flower,"Plants bloom quickly from seed, so start outdoors, direct sowing in early spring in cool soil, when a light frost is still possible. In mild winter areas, it can also be direct sown in late autumn. Germination takes 10-20 days. Sow every 3-4 weeks until July for continuous blooms.","Just cover the small seeds, and thin or space to 15-20cm (6-8″). Crowded plants bloom more generously.",,
Helenium,Flower,Sow indoors 8-10 weeks before planting out in early spring when the soil is cool and light frost is still possible. Or direct sow in early spring or early autumn. The ideal temperature for germination is 21°C (70°F). Seeds will sprout in 7-10 days.,Barely cover the seeds with soil. Transplant or thin to stand 60-90cm (24-36″) apart.,"Ideal pH: 5.5 - 7.0. Stake these tall growing plants in windy gardens. Ordinary, well-drained soil will do, but Helenium prefers rich soil. Don’t let the soil dry out completely during the growing season, and deadhead regularly once flowering begins. Divide clumps every three to four years to maintain vigour. Division works best in the spring north of Zone 7, and in the fall in southern climes.",
Iberis,Flower,"Start indoors 6-8 weeks before last frost date. Or direct sow outdoors after the last frost date, every two weeks into July for a continuous bloom period. Seeds should germinate in 10-20 days. Ideal soil temperature for germination: 21-30°C (70-85°F).","If starting indoors, use peat or coir pots and bottom heat. Only cover seed by a couple of millimetres (1/8″) of soil. Transplant out after last frost at 15-30cm (6-12″) apart.",Ideal pH: 6.0-7.0. Iberis does not respond well to transplanting or being moved. Direct sowing is probably simplest. Choose any well-drained garden soil with a neutral pH. Trim plants lightly after flowering to encourage a second bloom. Iberis may self sow.,
Lobiela,Flower,"Sow indoors 6-8 weeks before planting out, and do not plant out until nighttime temperatures are reliably 10°C (50°F) or warmer. On the coast this means sowing indoors around in early April, and planting out in late May. Starting indoors is highly recommended.","Sow on the surface of sterilized seed starting mix. Do not cover the dust-like seeds. Do what you can to sow them evenly on the soil. Provide bright light and a soil temperature of 18-25°C (65-75°F). Germination takes 15-21 days. Water with a mist sprayer. Consider starting Lobelia in 12- or 24-cell plug inserts. It is nice to be able to pull apart clumps of Lobelia for later transplanting. Smaller cell inserts work alright too, but the seedlings tend to grow together in mats, so pulling them apart will cause some loss.",,
Marigold,Flower,"Sow indoors 6-8 weeks before last frost, or direct sow 2 weeks before last frost. If starting indoors, just cover the seeds with vermiculite and provide a soil temperature of 21-25°C (70-75°F). Seeds should sprout in 4-14 days at that temperature.","Marigolds are somewhat prone to damping off. As a precaution, just cover the small seeds with vermiculite, water from below, and provide ventilation in the room. Space plants in the garden 30-45cm (12-18″) apart. Dwarf varieties can be spaced 15cm (6″) apart.","Pinch the growing tips to encourage branching. This prevents tall, spindly plants. Dead head regularly throughout the growing season.",
Matthiola,Flower,"Sow indoors 6-8 weeks before last frost, or direct sow outdoors after last frost. Seeds take 3-20 days to germinate at an ideal soil temperature of 12-18°C (55-65°F).","Stocks are highly susceptible to damping off. Sow on the surface of vermiculite under bright light, with some ventilation nearby. Water only from below. Pot on into sterilized potting soil once plants are large enough to handle, and space them in the garden at 15-23cm (6-9″) apart.","Moist, well-drained, fertile soil is best, with a neutral to slightly alkaline pH. Pinch out side shoots for taller plants. Crowding plants encourages earlier blooming. Water regularly and feed lightly every month.",
Milkweed,Flower,"Sow indoors 6-8 weeks before the last frost date and transplant or direct sow towards late spring. Optimal soil temperature for germination: 10-25°C (50-75°F). Seeds should sprout in 7-35 days. Asclepias may benefit from stratification: Seeded trays are wrapped in plastic and refrigerated for two to three weeks before being placed over bottom heat. This may result in more even and speedier germination.We have had success direct sowing  in March, with blooms the first year. In our experience,  returns with vigour in the second year and begins blooming by June here on the west coast.",Barely cover the small seeds using sterilized seed starting mix. Space transplants 30-60cm (12-24″) apart.,"For many years several Asclepias species were listed as invasive weeds because of their sometimes aggressive spreading by underground rhizomes and their giant, dandelion-like seeds. The seeds emerge from very conspicuous pods which are easily removed before they dry and crack. As the population of wild Asclepias diminished, so did the populations of many butterflies that depend on them as food and nursery plants (including the endangered Monarch). Now that they have been de-listed, we encourage home gardeners to grow them with the advance knowledge that they can spread. Try growing them in a large container like a half barrel, and be conscious of the seed pods as they develop. In short, please be responsible with Asclepias species.",
Nasturtium,Flower,"Sow indoors in peat or coir pots 2-4 weeks before the last frost date. Better yet, direct sow from 1 week after last frost and repeat at 2 week intervals into early summer. Optimal soil temperature for germination: 12-18°C (55-65°F). Seeds will sprout in 7-12 days, perhaps longer outdoors.","Sow seeds 5mm – 1cm (¼”-½”) deep. If starting indoors, provide darkness during germination, followed by bright light. Space smaller varieties 15-30cm (6-12″) apart, and the big ones like Tall Single 60-90cm (24-36″) apart.","Nasturtiums thrive in poor to average, slightly acidic, well-drained soil. Keep watered during dry weather, and do not fertilize. ",
Nemophilla,Flower,"Start indoors, in peat or coir pots, 6-8 weeks before planting out. It’s probably simpler to direct sow in early spring, when a chance of frost is still possible. In mild winter areas, seeds can also be direct sown in the fall. Ideal soil temperature for germination: 12°C (55°F). Seeds should sprout in 7-21 days.",Barely cover the tiny seeds. Aim for plant spacing at 10cm (4″). Tighter spacing is okay for this small species. ,"Cool, moist, light, well-drained soil is best. Grow in partial shade where summer soils get hot. Plants can die from excessive heat. Nemophila may self sow if conditions are right. ",
Nigella,Flower,"Try sowing indoors, in peat or coir pots, 6-8 weeks before planting out after last frost. Better luck may come from direct sowing outdoors 1-2 weeks before last frost when some risk of frost still exists, and then sow again every three weeks for the next 3 months. Otherwise, direct sow in the fall. Optimal soil temperature for germination: 18-21°C (65-70°F). Seeds should sprout in 8-15 days.",Just cover the small seeds. Aim for a final spacing of 20-30cm (8-12″).,"Nigella performs best in cooler growing areas, in ordinary, well-drained, pH-neutral soil. Fertilize and deadhead regularly, and water in long dry spells. It is easy to plant and grow Nigella seeds. Nigella may self sow, depending on conditions.",
Ornamental Grass,Flower,"Sow indoors in peat pots, 6-8 weeks before last frost. Transplant after frost at 30cm (12"") spacing. Or direct sow outdoors after last frost or in the autumn. Expect germination in 10-21 days.","Sow 5mm (1/8"") deep, and keep soil just moist.","This annual grass will grow in full sun to partial shade, in containers, raised beds, or in xeriscaping schemes. Make sure the soil is well drained and not that fertile. Once it is growing, it requires very little care. It is tolerant of drought and stress, and is non-competitive.",
Phacelia,Flower,There is no real need to start Phacelia indoors. Direct sow every couple of weeks from last frost to mid-June. This will produce a summer full of flowers and flowers full of pollinators. Seeds will germinate in 12-30 days.,"Sow 5mm (¼”) deep, and space or thin to 10-20cm (4-8″) apart.","Ordinary, well-drained garden soil is what makes Phacelia thrive. It will die back during a long, hot stretch of weather, so it’s ideal for the cooler seasons of spring and fall. Phacelia plants may self sow.",
Poppy,Flower,"Start perennial poppies outdoors in early spring, when some chance of frost is still a possibility. Start annual varieties outdoors at the same time in Zones 3-7. In Zones 8-10, the best bet is to direct sow in the fall.Poppies are famously difficult to transplant, so starting them indoors is not recommended. If absolutely necessary, use peat or coir pots, and maintain a soil temperature of 12°C (55°F). Seeds will sprout in 20-30 days.","Sow on the surface of the soil, or barely cover seeds. Thin to a minimum of 15cm (6″) apart.","Poppies are easy to grow and the self-sow with abandon, without becoming weedy. Simply pull up unwanted plants (an easy task) before they bloom, or better yet, let them tell you where they want to grow. They will thrive for years at a time in surprising spots, like a crack in the driveway. Other times, they simply won’t take, no matter how much you try. Keep them moderately well watered in hot, dry weather, and do not fertilize. Sow seeds in the fall or early winter. Thin plants to allow them some space, and keep the area weeded as plants grow larger. Grow this variety in full sun in well-drained, but ordinary garden soil. If spring and summer are cool and damp, or plants are over-crowded, expect smaller seed heads.",
Primrose,Flower,"Sow indoors 8-10 weeks before last frost in peat or coir pots to prevent root disturbance. That’s the third week in January to the first week in February on the coast. Otherwise direct sow the seeds in early spring, or autumn in mild winter areas. Seeds should germinate in 5-30 days.","Just cover the small seeds, and germinate at 18°-21°C (65°-70°F). Oenothera seeds require darkness to break dormancy.","Ideal pH: 5.5-7.0.Space plants 13-23cm (5-9″) apart. Plant in light, well drained soil. Sandy soil works well for this plant. Oenothera is tolerant of dry and is a good candidate for xeriscaping. In really fertile soil the foliage can be robust, but fewer flowers form. Top dress with fully composted manure in the spring. Provide irrigation during long hot spells, and cut the plants back by a third after flowering to keep them looking neat. Hot summer weather may cause the plants to briefly stop flowering. Powdery mildew sometimes appears in humid conditions.",
Prunella,Flower,"Sow indoors 8-10 weeks before last frost, or direct sow in late spring. Seeds should sprout in 10-16 days. Bottom heat will speed germination.",Sow seeds no more than 5mm (¼”) deep in moist soil. Space plants 45-60cm (18-24″) apart.,"The plant is tolerant to drought, but keep the soil moist during very hot weather. Cut back to the ground after flowering. This plant makes an excellent ground cover or lawn replacement, and will bloom even when it has been mowed. Prunella grows 5-30cm (2-12"") tall. Add it to lawns or wildflower blends. Plant at 21-42g per 1000 square feet - or 2-4 lb per acre.",
Ratibida,Flower,"Start transplants in a cold frame in early spring, or direct sow in May to June. Starting indoors requires vernalization – wrap planted pots in plastic and store in the refrigerator for one week, and then provide 20°-24°C (68°-75°F). Do this step 4-6 weeks before planting out. Seeds will germinate in 7-42 days.",Barely cover the seeds with soil. Transplant or thin to stand 30-60cm (12-24″) apart.,"Stake tall growing plants in windy gardens. Ordinary, well-drained soil will do. Ratibida is susceptible to foliar diseases like powdery and downy mildew, fungal spots, and leaf smut. To avoid these, mulch around the plants and only water in the morning, avoiding getting the leaves wet. These plants are highly resistant to heat and humidity, and they are suitable for xeriscaping.",
Scabiosa,Flower,"Sow indoors 8 – 10 weeks before planting out. Sow outdoors in early spring, when a risk of light frost is still possible. In mild winter areas, seeds can be sown in the fall.",Barely cover the small seeds. Space plants 30-45cm (8-12″) apart.,"Ideal pH: 7.0-8.0.Deadhead regularly. Grow in average, humus-rich well drained soil.",
Sisyrinchium,Flower,"Germination can be slow, and the seeds benefit from vernalization. Sow pre-moistened flats and seal them in plastic bags. Refrigerate for two to three weeks. Then move the flats outdoors to a shady location after all threat of frost has passed. Transplant as seedlings appear.","Sow seeds 2mm (1/8″) deep. Germination can take 30 to 180 days, so be patient.","Ideal pH: 6.5 – 7.8.Transplant after last frost into average, well drained soil. Sisyrinchium grows well in most situations, but it excels in moist, well-drained, fertile soil.",
Snapdragon,Flower,"Start snapdragons indoors, 8-10 weeks before planting out. Transplant out after last frost. Direct sowing is less reliable. Provide bright light and a soil temperature of 12°C (55°F). Seeds should sprout in 10-21 days.","Sow on the surface of a sterilized seed starting mix. To avoid damping off (to which snapdragons are somewhat prone), increase ventilation, use a layer of vermiculite on top of the soil, and water only from below. Transplant out once daytime temperatures are consistently above 10°C (50°F) and space 30cm (12″) apart.","Grow these easy sub-shrubs in rich, soil with a neutral pH. Pinch back young plants once 6 leaves have appeared for bushier mature plants. Feed lightly twice, before any flowers appear. Deadhead often. If flowering seems to subside, cut back dramatically, and then feed and water generously.",
Soapwort,Flower,"Start indoors in peat or coir pots 8-10 weeks before planting out. Alternately, direct sow in early spring or early autumn. For best results, place the seeds on the surface of pre-moistened soil, and tuck inside a plastic bag. Refrigerate for three weeks, and then provide bright light and a soil temperature of 21°C (70°F). Germination should occur in 10-21 days.",,"Transplant into dry, rocky soil in full sun or partial shade at 10-20cm (4-8”) apart. Water only during very dry spells, and do not fertilize. Cut back after blooming to keep plants compact. Saponaria plants do not transplant well, and they dislike wet soil over winter.",
Sunflower,Flower,"Direct sow repeatedly after the last frost date. Starting indoors is possible, but does not gain much time. If sunflowers are allowed to get root-bound, they will lack stability at transplant time, and will require staking. Optimal soil temperature for germination: 21-30°C (70-85°F). Seeds should sprout in 10-14 days.","Sow seeds 5mm-1cm  (¼-½”) deep. Space dwarf varieties 15cm (6″) apart, but give the giants lots of room at 1m (3′) between plants.","To grow really big plants with really big flowers, enrich the soil with organic matter and incorporate 2 cups of balanced organic fertilizer per 3m (10′) of row, and irrigate regularly. When the plants are 30cm (12) tall, dissolve 5ml (1 tsp) of borax (for boron) in 350 ml (12 fl oz) of water and spread the solution over 5m (15′) of row. Be careful not to over-apply this solution. This application of boron will produce bigger seeds and flower heads. Do not apply boron to other garden plants. When the back of the flower head turns yellow, it is ready to be cut from the plant.",
Sweet Pea,Flower,"Sow indoors 6-8 weeks before the last average frost date for your area. Or direct sow outdoors in early spring, while the soil is still cool and light frost is still possible. Plants are strongest from an early, indoor sowing. Sweet peas can also be direct sown in the fall where winters are mild.","Sow seeds 1cm (½”) deep. If starting indoors, chip seeds or soak them in warm water for 24 hours. Use a seed inoculant for the best results. Maintain a soil temperature of 12-18°C (55-65°F). Seeds should germinate in 10-20 days.","For best results, prepare the sweet pea bed the previous fall. Cultivate the soil to 45cm (18″) deep, incorporating a generous amount of finished compost. Also dig in bone meal. At transplant time, dig ¼ cup balanced organic fertilizer into the soil beneath each plant. Space vines at 15cm (6″) and provide trellis support. Mulch around plants to keep the soil as cool as possible, and water during dry weather. Keep plants picked to prolong the blooming period.",
Tobacco,Flower,"Sow indoors 6-8 weeks before last frost, or direct sow outdoors any time after the risk of frost has passed. Transplant after last frost.","Sprinkle seeds on the surface of the soil, and keep moist until germination in 10-20 days.","Water during hot, dry spells. Deadhead regularly to maintain a neat appearance and encourage further blooming. Stake in windy, exposed gardens. Remove any growth that comes under attack by aphids, or dislodge them with a blast from the hose.",
